iter	CrossEntropy
0	0.6923410246
1	0.6916556474
2	0.6910609622
3	0.6905519998
4	0.6901132807
5	0.6897310558
6	0.6894158492
7	0.6823208608
8	0.6752594352
9	0.6750649037
10	0.6748911677
11	0.6747508991
12	0.6522640065
13	0.6311915639
14	0.6311312644
15	0.6310809714
16	0.6310354293
17	0.6137831806
18	0.6137521673
19	0.6137261956
20	0.5842976767
21	0.5834505012
22	0.5834422035
23	0.5741629516
24	0.5529684152
25	0.5529665645
26	0.5529648187
27	0.5486817903
28	0.5390862533
29	0.5390856557
30	0.5390853189
31	0.5258305826
32	0.5186187001
33	0.5186182388
34	0.5186177365
35	0.5072537098
36	0.507252876
37	0.5072529331
38	0.504166298
39	0.5041659934
40	0.5041659088
41	0.4981371194
42	0.4953020102
43	0.4953020178
44	0.4953019694
45	0.4927784382
46	0.4927786041
47	0.4927781743
48	0.4927789082
49	0.4927786106
50	0.490387614
51	0.4854180011
52	0.4854183754
53	0.4854182687
54	0.4854179745
55	0.4854180014
56	0.4723857452
57	0.4723832448
58	0.470189444
59	0.4701867188
60	0.4701850152
61	0.4701825945
62	0.4596821166
63	0.4596807813
64	0.459679665
65	0.4596788439
66	0.4577513402
67	0.457750534
68	0.4571564614
69	0.4571563806
70	0.4559613973
71	0.4559612371
72	0.4559610709
73	0.4508193851
74	0.450817472
75	0.4482291864
76	0.4482277307
77	0.4399260621
78	0.4360618357
79	0.4360607073
80	0.433051198
81	0.4330505473
82	0.4330501729
83	0.4327501665
84	0.4327501717
85	0.4313765862
86	0.4313761087
87	0.4313762622
88	0.4313763716
89	0.4313759353
90	0.4301987247
91	0.4299291471
92	0.4281372574
93	0.42813739
94	0.4210556391
95	0.4140830176
96	0.4081503949
97	0.4045574772
98	0.4045574521
99	0.4025837079
100	0.4013198418
101	0.3931911877
102	0.3931911863
103	0.3867407731
104	0.3857351338
105	0.3849490839
106	0.3849488138
107	0.3849489222
108	0.3849486543
109	0.3782080262
110	0.3782081122
111	0.3782079556
112	0.3782080463
113	0.378208091
114	0.3782080081
115	0.3782078936
116	0.3739662025
117	0.3729338263
118	0.3729338685
119	0.3693980948
120	0.3675685346
121	0.3675684358
122	0.3662514924
123	0.3662513278
124	0.366251461
125	0.3662514192
126	0.3662514682
127	0.3662515099
128	0.3634570848
129	0.3634571844
130	0.3593826851
131	0.3581371191
132	0.3581353071
133	0.3581337998
134	0.3578321973
135	0.3578311128
