iter	Passed	Remaining
0	166	324313
1	171	166106
2	174	112635
3	177	86198
4	181	70377
5	189	61364
6	192	53233
7	196	47555
8	204	43982
9	207	40144
10	211	37079
11	218	35237
12	222	32997
13	226	31163
14	228	29437
15	232	28017
16	235	26683
17	240	25705
18	246	24997
19	252	24296
20	257	23608
21	261	22853
22	266	22226
23	270	21675
24	281	21604
25	290	21416
26	293	20831
27	302	20673
28	306	20250
29	309	19760
30	318	19627
31	326	19486
32	338	19576
33	358	20164
34	361	19705
35	365	19381
36	368	18983
37	372	18669
38	375	18320
39	379	18080
40	382	17772
41	385	17452
42	389	17199
43	391	16927
44	396	16714
45	398	16461
46	404	16309
47	419	16576
48	422	16327
49	425	16099
50	428	15914
51	439	15974
52	442	15797
53	465	16281
54	468	16097
55	471	15880
56	473	15679
57	482	15697
58	493	15774
59	497	15612
60	500	15457
61	503	15275
62	505	15104
63	508	14949
64	511	14800
65	515	14661
66	524	14699
67	527	14560
68	531	14433
69	535	14323
70	540	14245
71	549	14286
72	552	14164
73	557	14092
74	560	13965
75	563	13843
76	566	13723
77	575	13778
78	581	13717
79	583	13595
80	586	13486
81	589	13377
82	592	13287
83	606	13424
84	608	13313
85	629	13609
86	632	13500
87	635	13393
88	638	13310
89	643	13263
90	646	13172
91	649	13078
92	653	13000
93	655	12910
94	667	12988
95	670	12910
96	679	12934
97	683	12871
98	687	12810
99	690	12723
100	698	12747
101	708	12801
102	718	12846
103	722	12786
104	731	12804
105	738	12798
106	740	12717
107	743	12639
108	746	12572
109	749	12503
110	752	12432
111	755	12358
112	758	12297
113	769	12345
114	772	12278
115	777	12248
116	781	12207
117	785	12151
118	788	12094
119	791	12035
120	794	11967
121	803	12003
122	806	11940
123	821	12050
124	823	11986
125	828	11952
126	832	11907
127	841	11940
128	845	11897
129	854	11926
130	857	11861
131	860	11814
132	864	11765
133	867	11720
134	870	11665
135	874	11623
136	879	11598
137	882	11553
138	885	11496
139	888	11445
140	892	11408
141	898	11400
142	909	11452
143	913	11416
144	921	11439
145	925	11393
146	928	11355
147	932	11316
148	935	11266
149	938	11223
150	941	11183
151	944	11131
152	948	11108
153	952	11067
154	955	11027
155	958	10983
